CAST_ID,SOURCE,CARBON,VANADIUM,TITANIUM,NIOBIUM,MANGANESE,PHOSPHORUS,SULPHUR,SILICON
V80283,CC3,0.05,0.001,0.001,0.001,0.19,0.018,0.014,0.01
V80513,CC3,0.047,0.001,0.001,0.001,0.185,0.016,0.007,0.005
V80512,CC1,0.0022,0.001,0.032,0.013,0.078,0.012,0.007,0.005
V78644,CC3,0.04,0.001,0.0,0.0,0.212,0.012,0.005,0.01
V78707,CC3,0.03,0.001,0.0,0.0,0.183,0.019,0.004,0.02
V78704,CC2,0.65,0.001,0.001,0.001,0.698,0.026,0.007,0.294
V78710,CC1,0.0019,0.001,0.06,0.001,0.084,0.018,0.006,0.005
V78713,CC1,0.0019,0.001,0.06,0.001,0.086,0.013,0.007,0.004
V78711,CC2,0.63,0.001,0.001,0.001,0.683,0.018,0.005,0.271
V78717,CC1,0.002,0.001,0.056,0.001,0.085,0.013,0.008,0.007
V78715,CC3,0.051,0.002,0.0,0.0,0.453,0.01,0.002,0.007
V78719,CC1,0.0022,0.001,0.054,0.001,0.082,0.013,0.006,0.005
V79973,CC1,0.028,0.001,0.001,0.001,0.169,0.019,0.007,0.007
V79970,CC3,0.047,0.001,0.0,0.0,0.153,0.012,0.006,0.007
V79979,CC1,0.034,0.001,0.0,0.004,0.17,0.017,0.005,0.008
V80072,CC2,0.042,0.001,0.001,0.001,0.18,0.022,0.009,0.009
V80094,CC2,0.054,0.003,0.016,0.04,0.549,0.03,0.009,0.012
V80099,CC2,0.06,0.001,0.018,0.042,0.541,0.021,0.008,0.01
V80104,CC2,0.072,0.001,0.019,0.044,0.557,0.014,0.005,0.012
V80107,CC2,0.065,0.001,0.017,0.045,0.551,0.017,0.004,0.012
V80414,CC3,0.0526,0.001,0.001,0.001,0.218,0.02,0.004,0.01
V80421,CC2,0.0975,0.001,0.001,0.003,1.05,0.013,0.006,0.008
V80640,CC3,0.057,0.001,0.001,0.001,0.212,0.01,0.005,0.004
V80649,CC1,0.002,0.001,0.055,0.001,0.086,0.014,0.007,0.005
V80659,CC1,0.002,0.001,0.052,0.001,0.096,0.018,0.01,0.006
V80660,CC3,0.042,0.001,0.0,0.0,0.189,0.013,0.007,0.008
V80658,CC2,0.0744,0.001,0.003,0.012,0.654,0.025,0.006,0.08
V80663,CC1,0.0019,0.001,0.054,0.001,0.09,0.018,0.007,0.004
V80482,CC1,0.0017,0.001,0.054,0.001,0.091,0.013,0.008,0.006
V80489,CC1,0.0017,0.001,0.031,0.012,0.064,0.012,0.01,0.004
V80528,CC3,0.05,0.001,0.001,0.001,0.201,0.019,0.003,0.01
V80537,CC1,0.044,0.001,0.002,0.0,0.191,0.012,0.005,0.011
V80541,CC2,0.067,0.004,0.022,0.009,0.749,0.011,0.005,0.072
V80546,CC2,0.057,0.004,0.017,0.009,0.723,0.022,0.004,0.077
V80616,CC1,0.0019,0.001,0.057,0.001,0.085,0.012,0.006,0.004
V80617,CC3,0.064,0.001,0.001,0.001,0.42,0.014,0.007,0.009
V80620,CC2,0.057,0.002,0.023,0.008,0.74,0.02,0.005,0.075
V80622,CC2,0.05,0.001,0.02,0.01,0.772,0.021,0.005,0.083
